added?,index,gauge_addr,gauge_type,_weight,_pid,_masterChef,_chainId,_boostMultiplier,_maxVoteCap,,name check,,,,,,,,,,,,,,,,
FALSE,0,0x133b3d95bad5405d14d53473671200e9342896bf,1,0,1,0x735C0C6007307beFEC8Cb44112706d95759F6852,56,100,0,,CAKE-BNB,,,,,,,,,,,,,,,,
FALSE,1,0x7f51c8aaa6b0599abd16674e2b17fec7a9f674a1,1,0,3,0x735C0C6007307beFEC8Cb44112706d95759F6853,56,100,0,,CAKE-USDT,,,,,,,,,,,,,,,,
FALSE,2,0x85faac652b707fdf6907ef726751087f9e0b6687,1,0,4,0x735C0C6007307beFEC8Cb44112706d95759F6854,56,100,500,,BUSD-BNB,,,,,,,,,,,,,,,,
FALSE,3,0x36696169c63e42cd08ce11f5deebbcebae652050,1,0,5,0x735C0C6007307beFEC8Cb44112706d95759F6855,56,100,0,,USDT-BNB,,,,,,,,,,,,,,,,
FALSE,4,0x369482c78bad380a036cab827fe677c1903d1523,1,0,6,0x735C0C6007307beFEC8Cb44112706d95759F6856,56,100,500,,BTCB-BUSD,,,,,,,,,,,,,,,,
FALSE,5,0x46cf1cf8c69595804ba91dfdd8d6b960c9b0a7c4,1,0,7,0x735C0C6007307beFEC8Cb44112706d95759F6857,56,100,0,,BTCB-USDT,,,,,,,,,,,,,,,,
FALSE,6,0xd4dca84e1808da3354924cd243c66828cf775470,1,0,8,0x735C0C6007307beFEC8Cb44112706d95759F6858,56,100,500,,BTCB-ETH,,,,,,,,,,,,,,,,
FALSE,7,0xfc75f4e78bf71ed5066db9ca771d4ccb7c1264e0,1,0,9,0x735C0C6007307beFEC8Cb44112706d95759F6859,56,100,500,,BTCB-BNB,,,,,,,,,,,,,,,,
FALSE,8,0x7d05c84581f0c41ad80ddf677a510360bae09a5a,1,0,10,0x735C0C6007307beFEC8Cb44112706d95759F6860,56,100,500,,ETH-BNB,,,,,,,,,,,,,,,,
FALSE,9,0x92b7807bf19b7dddf89b706143896d05228f3121,1,0,12,0x735C0C6007307beFEC8Cb44112706d95759F6861,56,100,0,,USDC-USDT,,,,,,,,,,,,,,,,
FALSE,10,0x22536030b9ce783b6ddfb9a39ac7f439f568e5e6,1,0,13,0x735C0C6007307beFEC8Cb44112706d95759F6862,56,100,500,,USDC-BUSD,,,,,,,,,,,,,,,,
FALSE,11,0x4f3126d5de26413abdcf6948943fb9d0847d9818,1,0,14,0x735C0C6007307beFEC8Cb44112706d95759F6863,56,100,0,,BUSD-USDT,,,,,,,,,,,,,,,,
FALSE,12,0x66E9AcBA7C3a82C8EE02fAF3E325Dd55D6581a8c,1,0,57,0x735C0C6007307beFEC8Cb44112706d95759F6864,56,100,500,,ETH-USDT,,,,,,,,,,,,,,,,
FALSE,13,0x9f6eb6903c1277c8f02d71f8814dc9998199af1d,1,0,2,0x735C0C6007307beFEC8Cb44112706d95759F6865,56,100,500,,CAKE-BUSD,,,,,,,,,,,,,,,,
FALSE,14,0x539e0ebfffd39e54a0f7e5f8fec40ade7933a664,1,0,11,0x735C0C6007307beFEC8Cb44112706d95759F6866,56,100,500,,USDC-ETH,,,,,,,,,,,,,,,,
FALSE,15,0x0e1893beeb4d0913d26b9614b18aea29c56d94b9,1,0,15,0x735C0C6007307beFEC8Cb44112706d95759F6867,56,100,500,,LINK-BNB,,,,,,,,,,,,,,,,
FALSE,16,0xd15b00e81f98a7db25f1dc1ba6e983a4316c4cac,1,0,16,0x735C0C6007307beFEC8Cb44112706d95759F6868,56,100,500,,XRP-BNB,,,,,,,,,,,,,,,,
FALSE,17,0x673516e510d702ab5f2bbf0c6b545111a85f7ea7,1,0,18,0x735C0C6007307beFEC8Cb44112706d95759F6869,56,100,500,,ADA-BNB,,,,,,,,,,,,,,,,
FALSE,18,0x62f0546cbcd684f7c394d8549119e072527c41bc,1,0,19,0x735C0C6007307beFEC8Cb44112706d95759F6870,56,100,500,,DOT-BNB,,,,,,,,,,,,,,,,
FALSE,19,0x61837a8a78f42dc6cfed457c4ec1114f5e2d90f4,1,0,20,0x735C0C6007307beFEC8Cb44112706d95759F6871,56,100,500,,ankrETH-ETH,,,,,,,,,,,,,,,,
FALSE,20,0xcf57daadfbe05a04440c502967ce5209f64747eb,1,0,21,0x735C0C6007307beFEC8Cb44112706d95759F6872,56,100,500,,ankrBNB-BNB,,,,,,,,,,,,,,,,
FALSE,21,0x07003daebc432ecec26309ccd1391bbbf06cc890,1,0,22,0x735C0C6007307beFEC8Cb44112706d95759F6873,56,100,500,,GQ-USDT,,,,,,,,,,,,,,,,
FALSE,22,0xd10612a288bd5024db6a47663750996d176130fe,1,0,23,0x735C0C6007307beFEC8Cb44112706d95759F6874,56,100,500,,AXL-USDT,,,,,,,,,,,,,,,,
FALSE,23,0x088464e4e8cc54bf91180cbb8c61c68aecc74166,1,0,24,0x735C0C6007307beFEC8Cb44112706d95759F6875,56,100,500,,MGP-BNB,,,,,,,,,,,,,,,,
FALSE,24,0xb4e9dea6105089f15685508b8ef2e7f7f5a1b16d,1,0,25,0x735C0C6007307beFEC8Cb44112706d95759F6876,56,100,500,,UNW-BNB,,,,,,,,,,,,,,,,
FALSE,25,0xAE7a3D9bed2ba4ef9c134FF4BAeE33655AE5DE6f,1,0,26,0x735C0C6007307beFEC8Cb44112706d95759F6877,56,100,500,,stkBNB-BNB,,,,,,,,,,,,,,,,
FALSE,26,0x2da32920a775cf121004551abc92f385b3c0dab9,1,0,30,0x735C0C6007307beFEC8Cb44112706d95759F6878,56,100,500,,CHAMP-USDT,,,,,,,,,,,,,,,,
FALSE,27,0x63ca58e7c6bf06b06cbbec2a83bf6aa8f8f9f77b,1,0,31,0x735C0C6007307beFEC8Cb44112706d95759F6879,56,100,500,,ZBC-CAKE,,,,,,,,,,,,,,,,
FALSE,28,0x379044E32f5A162233E82de19DA852255d0951b8,1,0,32,0x735C0C6007307beFEC8Cb44112706d95759F6880,56,100,500,,WBETH-ETH,,,,,,,,,,,,,,,,
FALSE,29,0x6425bc30d0751af5181fc74a50e760b0e4a19811,1,0,33,0x735C0C6007307beFEC8Cb44112706d95759F6881,56,100,500,,EDU-USDT,,,,,,,,,,,,,,,,
